Dataset,MLHAT2,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABA,ABO,MLHT,MLHTPS,iSOUPT
Yelp,0.1069133954736512,0.20787843034446196,0.2805346522117561,0.15330769415915452,0.24616828277200625,0.21739974100235096,0.18680873570587447,0.31886113270500227,0.28829186069097545,0.1256070565356809,0.19237187999351435,0.13301086387955408,0.13161074299656658,0.29040635640891427,0.2851206710097691,0.14034165352850797
Medical,0.017288675858126813,0.021906877169188342,0.027543463278041608,0.02351380148582193,0.020343794317883544,0.019913917931558375,0.017265606989273374,0.3841328212434293,0.02514286886917661,0.025007374027418858,0.018216066692145302,0.024984606578827263,0.025143415597827762,0.03765923582790824,0.027633949281379987,0.023151146178414742
Eukaryote,0.010345707685918434,0.02565274594663458,0.22152491171219219,0.010350460258889246,0.044156594031331445,0.031727272319672546,0.034284138184034245,0.1299093464417202,0.045199285905447396,0.017305646200810827,0.029607349772873964,0.009668850859059894,0.009791177947616244,0.07074053465937047,0.07660638764692021,0.011719306182273253
Slashdot,0.05038375985047461,0.07557420785423052,0.0534460101080827,0.05307523251796165,0.052680253715659806,0.05308732111632929,0.051401302028919814,0.23095229600770323,0.05369719647864865,0.04998899711084889,0.04701080407081151,0.05313502705487316,0.05323072035107956,0.08459616363198172,0.05326656550423449,0.05159210648132975
Enron,0.056356579169496254,0.059115169681149896,0.06777066435860091,0.04922582233459519,0.05564987994271904,0.05602472517068213,0.05849680870258796,0.24210324719885196,0.06016405054264709,0.05312171989421563,0.051929632452305974,0.048221046050360775,0.04808854782242188,0.06887312780084737,0.06051602911230709,0.048817196369782705
Hypercube,0.0004467684107799442,0.00021691705435635715,0.0065254222131606,0.0025074815457708016,0.015973258518111284,0.006575173831132181,0.012785170786352416,0.5093275772911201,9.552310650555191e-05,0.00038806262017880366,6.766220044143224e-05,0.0013621993000635384,0.0012696612906362972,0.041908982905527525,0.03777469171677751,0.012062778768928376
Langlog,0.019768870969698253,0.017513725738071424,0.015676849394259555,0.015549555504431937,0.01567684939426395,0.015676849394259555,0.016104381158277954,0.43428519822499523,0.016431419712559132,0.015967809007761652,0.016404142716902707,0.015522302924561488,0.01555867170512727,0.016040495173539948,0.016550194144736532,0.01549503384483777
Stackex,0.014802280163711786,0.010547254665382519,0.010575802747218307,0.010172576675290097,0.01057839599067223,0.01058887385099536,0.010981660469518758,0.2661974387629711,0.011353341978487167,0.01055751094906979,0.01128267097634042,0.010020743034529694,0.01005479354799042,0.012822682015431061,0.010575825398877952,0.010062642290746254
Tmc,0.06929677785489,0.0835636881850915,0.09144051489354539,0.066437106271573,0.07987508973711324,0.08136994016565058,0.09083486809381014,0.09345876285918386,0.08650088314679749,0.0759557308592706,0.07961880041511646,0.06365010471470173,0.0645121311371199,0.11672876959452168,0.08427397056996477,0.06576163117695709
Ohsumed,0.06775984555906095,0.07750371456983961,0.0856740083337405,0.06577817342917971,0.06490202719824717,0.06492072503204993,0.07293459224234244,0.08069325059466052,0.07158348765273845,0.06775670144300622,0.07194695055476408,0.06378079021142395,0.06429344520784325,0.09939888136630987,0.07587900506558642,0.06491149424547384
D20ng,0.038168090460880835,0.05323124071159674,0.0512283682199173,0.04770172068592743,0.04419320981343662,0.04574504512876647,0.04867104141321539,0.05938477569126286,0.04915822873760339,0.04691274869257005,0.04819911740636282,0.041733643091675286,0.042829261630190324,0.09254982188041533,0.06419540198665288,0.044071914948026356
Mediamill,0.028335251504074947,0.031047583016068497,0.2975254481766461,0.030822744153052858,0.03306498436240576,0.03339596082653253,0.03743598219421437,0.08196520827583495,0.0342041670878082,0.028744516613916915,0.03108839907398112,0.030597914002293905,0.030693273799944507,0.04186279794702677,0.038379912068012105,0.032154008441778376
Corel5k,0.009918717361802724,0.010854268932528287,0.009335925961970453,0.009357213087642403,0.010336528832598123,0.01075267371086431,0.012583666840111772,0.3051830854341588,0.009247057448336152,0.008519036701057149,0.008833553852332154,0.009364663581149743,0.00935880962146271,0.01809283436650963,0.00937956456887235,0.00936093832866396
Bibtex,0.014513493865298804,0.015180404899417015,0.015034842190985376,0.013485127437337211,0.015362328019993446,0.015933609506248128,0.0200056775472004,0.04607155038302011,0.014630252727952278,0.01379406091761546,0.014120730114647302,0.013599385211414034,0.013598549489150014,0.02042618297856661,0.017555350153582963,0.013491048832477544
Nuswidec,0.019843758413769164,0.021575278401531083,0.03456562696751772,0.02261038001304848,0.0222382343948482,0.022369332322799453,0.029888448427992657,,0.022981814657639207,0.021525937742564775,,0.02244586979368667,0.022446461287066163,0.0231392560921561,0.023962284316637338,0.022113273565641335
Imdb,0.08901425877052291,0.08040976335187894,0.34832163776411684,0.07117043737438683,0.07631556937898559,0.07739298086245208,0.08356525634809503,0.07650335327489637,0.07108256581592134,0.07172794534572863,,0.07115368960321011,0.07122305000877988,0.08071862387671427,0.07092504114316428,0.07121040858633111
Nuswideb,0.019688726731015398,0.02243315568618079,0.2656138556075607,0.022396395667673062,0.023150737856139858,0.02327012539437593,0.03160607234373487,,,0.021381568721035395,,0.022248195904609608,0.022274573901272604,0.023022175296745176,0.023251371271926075,0.02226930484450456
YahooSociety,0.06429859412483957,0.06147469828254143,0.06188084566508893,0.06482698371587817,0.06028079552742584,0.06297040498910561,0.06534002634992638,,0.06177165150991542,0.05786305650220454,,0.05334257946044155,0.05660103430005965,0.06191381186942648,0.06159642445658559,0.0595646603817444
Eurlex,0.010736115917222764,0.011020718724723863,0.014239394116135472,0.013020825745158539,0.010007661734739633,0.010426288004949647,0.015159701207360422,0.08815005394689593,0.010441900911154729,0.008663075618353328,,0.008666403525926285,0.009494408973872867,0.015034833149131215,0.01090350486878016,0.01115087989867718
SynTreeSud,0.316436765714294,0.2944559780347643,0.26393308237042246,0.25634342443163666,0.2582588719532729,0.25866681064266783,0.27450792908539456,0.25800761200626465,0.2560225174890127,0.26671932664223813,0.256293656339421,0.2570175832916255,0.25726392637761364,0.33768327808359666,0.2559628182122675,0.25714194159392145
SynRBFSud,0.1150859757690352,0.08662064574460406,0.2731802591154323,0.09118998036666885,0.08770237543467313,0.081719397490773,0.09249780021754939,0.09776671259977762,0.09310355162881692,0.07324480544733936,0.08594720128141395,0.09256542943260984,0.09265379281565445,0.19010059897913895,0.11841901054165144,0.08568210610335528
SynHPSud,0.3271433644540326,0.3064040921915543,0.2806446962713917,0.2658509882205138,0.28176170443074555,0.2715998955508641,0.28372945032068003,0.2817143587305609,0.280012849144343,0.2759631454090958,0.2800800139964324,0.26572913923027686,0.2658585045529551,0.37200428855550915,0.2800153367314611,0.26961723686596056
SynTreeGrad,0.33115083024342495,0.3175585369575503,0.2872793709240553,0.2799086003037594,0.2777294774832538,0.2804386003223086,0.2934611175682732,0.277065309705114,0.27500061240019347,0.2908215586138071,0.2774981311995506,0.2798340630796221,0.2805255857389304,0.34040947032864444,0.274973248941947,0.27981415611039784
SynRBFGrad,0.11386809077201762,0.08895147929723939,0.2530366893603583,0.09421810601055701,0.08821037124300796,0.08403200842708113,0.09076882741312312,0.09417892526740149,0.09031739487477419,0.07561946444856747,0.08674720836662853,0.09015421216305695,0.09013590350474164,0.15254596697819023,0.10437763426997437,0.08509068007509127
SynHPGrad,0.3121629272783317,0.29482419752184624,0.2590373310936507,0.25458952007377206,0.25853728449834623,0.25795276793894206,0.26847279763833154,0.2600870928559089,0.25822389010725566,0.26331591524493364,0.2588109748497284,0.25544534351556636,0.25550249026888167,0.36325556006787363,0.25811941144845496,0.25711938016156344
SynTreeInc,0.3340663357617979,0.3127099126197579,0.29080167099985355,0.2714682665988446,0.2727592488334938,0.2737443902674589,0.28621221761485893,0.27312744451436777,0.27113488723576695,0.28278921135215906,0.2711473251713373,0.27231639317694883,0.2728661672440453,0.35460151206465734,0.2710702099707888,0.2742891405611255
SynRBFInc,0.24167715713367455,0.19356660495254288,0.2719606068821909,0.20539486026518605,0.18453860782878548,0.1790933095854898,0.20420614265626452,0.2500252912373372,0.22470619216185772,0.13823415609038847,0.12783081344588063,0.2227535414146329,0.22576102686993982,0.30181440857081754,0.23168404130794462,0.19971798866466428
SynHPInc,0.3088992217750137,0.28332901791865783,0.24136050111058951,0.23995254634235386,0.2419525561415316,0.24180082180992413,0.25526131120614287,0.24260180708064966,0.24051720907882174,0.24346755943340276,0.24056447323399588,0.2409451270223143,0.2411193337575484,0.346043977761768,0.24054208494996515,0.23964906504274447
SynTreeRec,0.30226258235088266,0.2783490668933022,0.2744682921623214,0.2403259289345921,0.2639481059633368,0.24347516242620548,0.2624332639772806,0.27813288255706936,0.27080401852615105,0.25229869603074506,0.2708239192230638,0.24018908235914524,0.2402412805018095,0.34842275964909253,0.2760408217938958,0.24439812806668543
SynRBFRec,0.12239751673254197,0.09163001261689446,0.34081806536700526,0.09676114966748377,0.08134513615371677,0.08032224278850113,0.0926799230082776,0.09960711323156674,0.09524322882015737,0.07928502726251502,0.08937955119392121,0.09597318641616119,0.0960464149532953,0.18869480272505496,0.14169940989297608,0.08186661846276863
SynHPRec,0.30250669850459555,0.25226663225923396,0.24571649168676296,0.2224028151360555,0.22792030975961175,0.2231441570794547,0.23407469362254874,0.23238303291918996,0.24148759990080648,0.22664662014995463,0.2342934808279893,0.22333319090699044,0.22355708346455577,0.3024916734970967,0.24117673754823388,0.227156664187639
