Dataset,MLHAT2,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABA,ABO,MLHT,MLHTPS,iSOUPT
Medical,0.46651499372905003,0.3279605460261944,0.002035935075113768,0.14566864125280654,0.30054005659793004,0.3270092714809518,0.42885895097249316,0.0,0.14465978566271798,0.09372989805228948,0.35451454129728394,0.08253691710071547,0.08049121214236543,0.15684982899397898,0.002035935075113768,0.15180323354966715
Eukaryote,0.7992093734886381,0.6403164772734942,0.11045443041721856,0.7984540945788782,0.38904007260697,0.525892079059215,0.4818118156973904,0.02152697965419751,0.2748537614518949,0.6952852140982831,0.4899959523844618,0.8130650905415304,0.810630329645963,0.201822900697602,0.13044324576174424,0.7841019276921066
Slashdot,0.27263697113653296,0.13920646605527381,0.0,0.01684063892731192,0.0450083832921229,0.0860610218439499,0.11894744303229185,0.0,0.006578462371417282,0.07605513733561758,0.15946831517289717,0.006841682354231159,0.00526269979800335,0.13999293777165828,0.0055265911665692,0.04262805310598945
Enron,0.10937591581645845,0.10527814431227864,0.026909730631518487,0.09592272994725803,0.09006982172884784,0.08656050688016073,0.07194092683398863,0.0,0.06433540767713669,0.07603383464936278,0.07135517053240288,0.0994334667796616,0.1006025771454046,0.11230158393774672,0.06141106188097671,0.09475244348912734
Hypercube,0.9931144182751315,0.9938606877613589,0.9305169277598575,0.9768655350622413,0.8545561169193985,0.9462085880681202,0.8876011820975276,0.0006467710336313374,0.9942288497343361,0.9925671456940907,0.9944975084713931,0.9855024159421228,0.9864576470071673,0.7854003585055098,0.8060668392874579,0.9006858428691665
Langlog,0.1834517740245472,0.18004022576934847,0.14117264457340478,0.164358077686863,0.14049080873708525,0.14117264457340478,0.17390778800176,0.0,0.13980897290055427,0.13639953322808535,0.13980897289578662,0.15412761537290243,0.15685494957166596,0.13708162955664027,0.16503908352218866,0.16435533043108957
Stackex,0.02615283396034014,0.026154512293253353,0.0017859937642696658,0.01724251771087626,0.004758609473541682,0.00594712261312237,0.024968258429589947,0.001194743130227001,0.002974971582199272,0.0029745107966189753,0.004163010991326755,0.0208082709979757,0.019619346467100316,0.026749132279937166,0.0017859937642696658,0.024375427285514756
Tmc,0.23655225460252902,0.1335169243535917,0.06093003991711485,0.22715692846419558,0.15199523129193632,0.13863172289827475,0.09583164935085224,0.09137763701588067,0.10421761498270479,0.15745721827438935,0.13734581641100363,0.24744435074020438,0.24222404507576123,0.08612267312921376,0.15456943499703912,0.22987139859433064
Ohsumed,0.17524507499129788,0.01621712415589522,0.06086728163667755,0.08601458632684157,0.14238360422826898,0.14924270555775526,0.10680472371415664,0.07279879468957196,0.009788311705697363,0.05815321434816306,0.0028575879819494705,0.1046615126514523,0.10094544420332091,0.0835851320400446,0.16638760791336252,0.10316182008898328
D20ng,0.44263699886960717,0.08930476775431417,0.0001548020119842465,0.07465808272019792,0.2739822120663731,0.2529469627341414,0.2801170023157263,0.11059213012913618,0.06377936149042837,0.10420521225724282,0.06527704062872156,0.1969581176086532,0.17679883354357562,0.08249344225234226,0.2532544124614512,0.15617368376738738
Mediamill,0.17339112069657084,0.16872277680779296,0.00027194965210104694,0.10180040324021503,0.05797088685023098,0.06438432784095567,0.046299513166404065,0.029280462828396622,0.048339516941511056,0.12629857683691248,0.08643528811500975,0.10986826602704439,0.10993622688281898,0.053438120764765396,0.023614294790815945,0.07820861008600954
Corel5k,0.019504454170267603,0.013932456037448618,0.0,0.00019903462172559874,0.0009951731086168397,0.0067671771385929055,0.00278648473793311,0.0,0.004378761677912787,0.025078362438777715,0.012340146546845135,0.0,0.00019903462172330913,0.009354677981916517,0.0,0.0
Bibtex,0.12097891419341913,0.0026916061811081225,0.0,0.057194376318239815,0.05302151320824862,0.056925650195572504,0.035660856412868466,0.032027127778509995,0.05207989597120216,0.046024704225964067,0.043737444672682896,0.05880781454331521,0.05867294317012557,0.06297988390699202,0.043468605257278733,0.06674826357546268
Nuswidec,0.2699569199509889,0.25386811200416975,0.13231229897084434,0.22457954186124116,0.21460137915910096,0.2171885756053901,0.1169725033418165,,0.22097418650923867,0.24759873933653967,,0.22920342914839853,0.22901894070733847,0.2223799323915757,0.206110625410862,0.22312533302645637
Imdb,0.05032806504970783,0.04694615539072802,0.0016210931755857314,0.006945219516523947,0.007710525620368407,0.010549577586785135,0.015626682867122675,0.00048550506273889276,3.291559747382183e-05,0.008854297016989771,,0.015774890499820376,0.017066823444742044,0.10966708485964123,0.0010615280185307737,0.010714031039351571
Nuswideb,0.27945904419418743,0.23711151912157558,0.0023395202986510807,0.22420702706105172,0.19449387597492143,0.2030961298194232,0.10327492702590643,,,0.24772418897677984,,0.2295984074282843,0.22991942739335458,0.22236148191603394,0.20692581199800195,0.2184536692384472
YahooSociety,0.24349411134782395,0.14454565909047196,0.25816232557639274,0.2020772249014633,0.13302700959994895,0.15585976079826963,0.12322216170453806,,0.0566380582574568,0.15949553505054193,,0.2849784579082014,0.26385879579204385,0.28045345994827425,0.013165232407015413,0.23999732732807239
Eurlex,0.18124160142765403,0.07441916723265435,0.006480524164643528,0.11726071223901686,0.11973211286583403,0.11736527648692045,0.04937342389993313,0.0026240196628617646,0.02257904923442411,0.11679942724079206,,0.25015842049458253,0.21564864800060063,0.057396064077465926,0.00915525075505728,0.19970505770180352
SynTreeSud,0.03892631493994546,0.03657787869882048,0.005213982591686533,0.005552394142430506,0.0012139426111019518,0.004457756120542085,0.012318588037300106,0.0,9.95034845741691e-05,0.010069782136738446,0.00013930487840392008,0.007064759963895257,0.006865740482215169,0.07787283427507273,0.00019901615537720198,0.0038408345045629223
SynRBFSud,0.06489713425048155,0.08690721177274092,0.009333426853057089,0.04925458986887485,0.07494672631723344,0.10161396107447321,0.05253826765770275,0.0,0.00027860975680767466,0.12133620605395255,0.04037895314901236,0.007761362274764651,0.007044872251276337,0.015104628958358651,0.012219195712814289,0.07200164938059554
SynHPSud,0.03809024898146135,0.037473424182496703,0.0003184111506373454,0.02408006539388073,0.006248943876241495,0.022189293288470302,0.021453178432331944,0.0,0.0,0.022408250638150586,1.9900696914833882e-05,0.02561252852386506,0.02555279618737135,0.04507588157262345,0.0,0.01854763121461905
SynTreeGrad,0.036339269570390645,0.03608067434579675,0.018288740464732042,0.00893571285741338,0.003980139386544119,0.005273784437295788,0.010666947525164486,0.0007363257858488422,3.9801393829667765e-05,0.011522716384964441,0.0005572195136153506,0.01613969551609911,0.015980432188372726,0.06589130688696365,0.0,0.00748287110361503
SynRBFGrad,0.035363711615864546,0.05606032710150738,0.010646878981760938,0.039343677803492384,0.06348343566370136,0.07434900369701908,0.043463122061996956,0.0001791062722335012,0.0001791062722335014,0.08778224585482966,0.017671818860372404,0.0024676864174393988,0.0026865940835025647,0.016179291506662932,0.012418034874856206,0.0495527602802904
SynHPGrad,0.04413999801275177,0.036796876697837905,0.010228958214224383,0.01727398726145453,0.010487881174877225,0.01663721503124401,0.021313899889420333,0.0,3.9801393829667846e-05,0.014766586112118344,0.00027860975680767293,0.012836028897644815,0.012318588920478105,0.06455958725432585,9.95034845741691e-05,0.010706574940180517
SynTreeInc,0.04047857146494778,0.036816814630005176,0.01996080259675722,0.010746758358638437,0.00433847273473131,0.0105875144046229,0.013134601558475685,0.001114439027230707,0.000358212544467002,0.009353327550502706,0.00045771602904117614,0.016657284228532875,0.016338873624152074,0.06652962394977543,0.0003383118475521761,0.004298600185733092
SynRBFInc,0.17009204342780354,0.23612275942111968,0.13608170826759333,0.13005175714930034,0.2205412321818498,0.22601370395600695,0.18153436056916147,0.0767569880005145,0.08408054987205071,0.34153860872102204,0.3673906593517364,0.08899676712619133,0.07657867077494945,0.07528553813551728,0.14121565807090575,0.178948474615276
SynHPInc,0.03896603899953337,0.03030902593764572,0.009651838003694166,0.008816058385312513,0.010169256123479915,0.009910652899094163,0.015542706343215147,0.0003582125444670021,0.0003582125444670021,0.004497563635086736,0.0004179146352115111,0.00475628514970201,0.004537362057009788,0.05946385882111842,0.0003582125444670021,0.00909462002250578
SynTreeRec,0.04887637581950953,0.05353323621357069,0.018826266808955546,0.05627986677835957,0.02354291873166143,0.058667873146390555,0.03878698406356665,0.0,0.002885862527296331,0.047503656457676256,0.0029057632242111796,0.058011379942191174,0.05749406971789661,0.10167276885053549,0.0,0.044279846722711784
SynRBFRec,0.032081012747539675,0.050110582113816686,0.011223993059966221,0.042429198606386886,0.10149563640472549,0.09882915234283902,0.04410120607118097,0.008716505248697277,0.0008558315724279406,0.0762615229460053,0.025872142373255996,0.0014530098411635465,0.0012739035205713454,0.01956238506728171,0.024995276202025934,0.10270902365550152
SynHPRec,0.07476725502549333,0.10107619585092237,0.059184831321640284,0.08624971724455607,0.07707553527438943,0.09482699557421509,0.08961299853716409,0.02238828712968228,0.05198063727969665,0.08479718510854745,0.04796070920004608,0.0772946507679046,0.07621988799391854,0.06997137300458608,0.046906135374469735,0.06364248860007765
